y_test,y_Hat
4775.3775,5091.314983171275
4775.3775,5091.314983171275
69970.9489,56868.64621280139
79250.3879,57124.37682483311
80927.0747,59706.64210169226
85420.1909,58599.40621879333
100172.0793,61546.149715960855
100172.0793,57466.29802263246
41114.7817,28929.175696038405
42406.8454,35759.13850851224
44452.2326,31075.353850100448
44846.7916,37336.43992766443
52170.7119,40134.6657257442
52170.7119,26791.101555455447
32406.7203,36378.3480137481
34622.1697,33656.896793721986
33673.751,36230.99635452381
31911.0358,37051.35211180243
35657.4976,39725.28166847704
35657.4976,37174.61735132358
5273.1507,5964.827066420576
5594.4939,6008.786028723115
5626.1712,5823.2816932851765
4897.2659,5566.791173986175
5183.5813,5966.48761855063
5183.5813,5692.821247089598
38834.0529,39650.619492365106
39727.1166,40881.76921052177
40458.0019,39221.14771752154
39918.1676,39314.53486340832
39312.6604,40662.111722332906
39312.6604,36598.95995509527
4073.1164,8716.485113856425
4146.4073,8181.766425616165
4205.5637,7575.994219538087
4042.7693,9233.868563708473
4103.259,6119.5453771767
4103.259,6035.402073003044
9247.5813,12656.928890562016
9812.6264,13162.632369367999
9812.5958,11033.647327843475
9121.6371,10965.399689440437
10373.7898,12085.739588767305
10373.7898,7815.837935964164
1675.9739,1722.4788878557954
1845.7829,1647.5574300046312
1970.1051,1882.568385313071
1936.4246,1703.8663261875956
2081.7999,1833.2795839941725
2081.7999,1833.3809465073164
1563.5505,4026.1935744547404
1605.0136,4026.1935744547404
1432.179,4827.574777703803
1430.5516,3746.4396094706735
1606.4625,4597.4268772242995
1606.4625,13041.334745057206
4009.381,8336.384792808934
4384.0489,9327.862779729405
4416.1084,9469.610699310027
4310.8112,6705.0390795768435
5269.7839,11134.368066716497
5269.7839,7978.195257697163
29263.0896,30878.20588331397
32007.5235,29391.920158053475
30667.3482,29365.442994245048
24300.3294,27727.68748291246
24300.3294,30707.71708590658
24300.3294,30651.313279256796
1242.7696,1840.9241802057743
1308.1402,2221.0614794166904
1374.0321,2397.7641091712044
1182.5217,2883.5226203854522
1276.7004,2376.2609423160147
1276.7004,1673.8894516295236
2439.4634,1736.9931101289815
2553.3619,3110.4004824500194
2598.5055,3315.3009193424077
2593.3551,2448.9293566635215
2535.6234,4519.26305820378
2535.6234,3558.5973851300664
15695.1152,20231.080343710586
17865.0311,19550.37916809893
17945.2222,17701.578644428246
18207.1396,15354.29399956324
21148.1629,22288.803490935195
21148.1629,23084.120202992155
8679.8974,9025.920324418532
9225.8452,10304.726417150814
8985.5725,8517.93662425734
5599.9575,4979.64526323956
4136.1463,5465.063498367897
4136.1463,5479.763770332663
1062.7125,3046.93655706536
1161.7271,1129.5012288625678
1102.5649,2551.549339927388
989.8472,2352.726662704246
1094.0982,929.1488644134091
1094.0982,2057.2197080403703
706.8927,918.3127238721256
700.037,999.1254813004351
665.8784,888.485121678076
597.5297,903.2323151292618
675.6632,988.9310966650324
675.6632,1093.526265370265
10529.2674,8865.80017337898
11838.0096,7923.519955447277
10542.1493,7985.325165047039
7568.042,8129.3462200272215
6357.1956,8043.107525820823
6357.1956,8043.107525820823
16885.4074,18906.287989630546
19186.3596,18378.46236858292
19595.1416,17509.981376302683
20339.5213,22521.61688480505
23723.3403,37133.174278267004
23723.3403,22495.916110756694
110193.2138,109515.1734936087
116786.5117,115769.06142223727
112621.8213,114032.72087099955
117370.4969,111882.98268927379
133590.147,114268.94461669029
133590.147,104339.24722162732
78985.6421,75286.40198009658
84923.3868,74015.84881988699
83183.1666,71943.31203600444
37646.3162,56587.76705613216
43873.5912,58771.512096549326
503.4981,1258.0865063071087
512.544,1258.0865063071087
512.2797,919.6662379108362
462.4042,866.9288345433512
500.511,1050.118525562335
500.511,803.5665078510343
500.1655,411.71308990661583
537.9322,436.34560866309874
584.3629,360.40540983969817
628.6995,280.5281308752563
634.8357,327.06861655672657
634.8357,327.06861655672657
9979.8008,14543.179888201352
11074.0641,17516.19114779048
11132.0239,17522.014120184398
10160.7832,13121.966494664297
11109.2618,18241.027947300692
11109.2618,16051.933970616587
10062.9831,11629.956088092236
10823.6367,11422.978545477687
11118.5565,13382.354580178595
7282.3585,9324.343090553828
10366.2934,13381.664581991783
10366.2934,15553.90826459218
795.6827,791.4946271993581
856.3565,594.0042399061119
840.1758,548.6891686560916
822.9061,535.0884166067494
873.7949,596.871640491848
873.7949,534.3708723482143
28823.5251,26593.001338958184
31567.9422,21877.587247442087
31198.2414,27643.470492630182
28977.5656,33186.85517799472
33486.672,35828.1397067601
33486.672,28718.477682841723
1634.6436,977.6299621197066
1749.9542,902.7598302046007
1839.9644,836.136172368117
1868.4666,1031.5110119887197
2166.0468,1444.9984932592731
2166.0468,1833.3944285263956
10844.0363,7365.275505513405
11645.982,8633.765492666393
11405.7268,6442.8082606519365
9007.4191,11275.49204199916
9106.2372,10743.372981137607
9106.2372,13627.198800162601
9434.3865,10754.132088145818
9857.0288,10944.634781010329
10145.1702,11447.906384283742
8655.0007,12218.172947545985
10045.6805,12733.940072162553
10045.6805,10727.480487567202
3320.355,3863.616899662461
3623.3293,3938.229411279277
3699.0815,3839.862377771143
3639.4127,1949.1145575439944
3571.3368,2956.2937350336874
3571.3368,10712.060116723542
3509.6473,4053.8412548465653
4232.2069,3403.3503866659908
4493.3703,3761.054925971568
4500.6245,5111.665726394961
5230.6617,4806.836953312605
5230.6617,4039.4574606586084
3708.2482,7877.331587243253
4165.0227,8565.119587467609
4394.9471,9297.847647349308
4041.1742,9687.206773349473
4566.1402,10286.094400356465
4566.1402,8165.68906998906
7803.4111,9905.906578947963
8850.0927,8892.750428817226
8909.6533,8910.094782087075
7677.1522,11299.853549052466
9465.704,11036.410984664053
9465.704,10377.688817656257
3288.5022,6232.511588455947
3492.6733,6984.874704814946
3498.574,4996.690545359796
3258.1213,4871.420119900015
3795.3801,3627.1326984286657
3795.3801,3432.506491291328
462.7001,1021.2434430756014
504.5359,-87.68627272054857
508.1637,863.781404842192
449.9552,550.5061806732466
491.8391,577.7888897867889
491.8391,496.7719316521582
1175.2026,1638.7548259059995
